Sector,Constituency,Candidate No.,Chin name,Name,Age,Political Affiliation,Incumbent,Occupation,Deputy to National People Congress/member of Chinese People's Political Consultative Conference,image,votes,Elected
FC,Real estate and construction,2,趙式浩,Howard Chao,42,Business and Professionals Alliance for Hong Kong,,"District councillor, company director",,howard-chao.png,150,No
FC,Tourism,1,江旻憓,Vivian Kong Man-wai,31,,,External affairs manager,,vivian-kong-man-wai.png,131,Yes
FC,Tourism,2,馬軼超,Ma Yat-chiu,48,Independent,,"District councillor, tourism practitioner",,ma-yat-chiu.png,23,No
FC,Commercial (first),1,李家聰,Felix Lee Kar-chung ,44,,,Company director,,felix-lee-kar-chung.png,283,No
FC,Commercial (first),2,林偉全,Lamport Jonathan Stuart,52,Business and Professionals Alliance for Hong Kong,,Entrepreneur,,lamport-jonathan-stuart.png,404,Yes
FC,Commercial (second),1,姚祖輝,Andrew Yao Cho-fai,60,,,Entrepreneur,Deputy to National People Congress,andrew-yao-cho-fai.png,194,Yes
FC,Commercial (second),2,王紹基,Ivan Wong Siu-kei,46,,,Businessman,,ivan-wong-siu-kei.png,33,No
FC,Commercial (third),1,嚴剛,Erik Yim Kong,53,,Y,Lawmaker,,erik-yim-kong.png,199,Yes
FC,Commercial (third),2,張琪騰,Cheung Ki-tang,41,Democratic Alliance for the Betterment and Progress of Hong Kong,,"District councillor, company director",,cheung-ki-tang.png,106,No
FC,Industrial (first),1,黃永威,Ray Wong Wing-wai,46,Business and Professionals Alliance for Hong Kong,,Industrialist,,ray-wong-wing-wai.png,153,Yes
FC,Industrial (first),2,許文俊,Terrence Hui Man-chun,46,Business and Professionals Alliance for Hong Kong,,CEO,,terrence-hui-man-chun.png,86,No
FC,Industrial (second),1,吳永嘉,Jimmy Ng Wing-ka,56,Business and Professionals Alliance for Hong Kong,Y,Company director,Deputy to National People Congress,jimmy-ng-wing-ka.png,246,Yes
FC,Industrial (second),2,王偉樑,Wong Wai-leung,34,,,"District councillor, CEO",,wong-wai-leung.png,62,No
FC,Finance,1,葉子建,Ip Tsz-kin,56,,,Banker,,ip-tsz-kin.png,33,No
FC,Finance,2,陳振英,Ronick Chan Chun-ying,64,,Y,"Lawmaker, Bank advisor",Deputy to National People Congress,ronick-chan-chun-ying.png,42,Yes
FC,Financial services,1,李惟宏,Lee Wai-wang Robert,45,,Y,"lawmaker, company director",,robert-lee-wai-wang.png,227,Yes
FC,Financial services,2,連少冬,Lian Shaodong,57,,,Asset manager,,lian-shaodong.png,162,No
FC,"Sports, performing arts, culture and publication",1,霍啟剛,Kenneth Fok Kai-kong,46,,Y,"Lawmaker, merchant",Deputy to National People Congress,kenneth-fok-kai-kong.png,193,Yes
FC,"Sports, performing arts, culture and publication",2,羅光萍,Lo Kwong-ping,54,,,"Curator, editor",,lo-kwong-ping.png,34,No
FC,Import and export,1,鍾奇峰,Chung Ki-fung,37,,,Merchant,,chung-ki-fung.png,137,Yes
FC,Import and export,2,李淑媛,Sophia Lee Shuk-woon ,46,,,"District councillor, company director",,sophia-lee-shuk-woon.png,108,No
FC,Textiles and garment,1,陳祖恒,Sunny Tan,52,Business and Professionals Alliance for Hong Kong,Y,"Lawmaker, company adviser",,sunny-tan.png,202,Yes
FC,Textiles and garment,2,蕭勁樺,Shiu King-wah,48,,,Merchant,,shiu-king-wah.png,29,No
FC,Wholesale and retail,1,謝邱安儀,Annie Yau Tse,55,,,Company chairwoman and CEO,,tse-annie-yau.png,149,No
FC,Wholesale and retail,2,邵家輝,Peter Shiu Ka-fai,55,Liberal Party,Y,"Lawmaker, company director",member of Chinese People's Political Consultative Conference,peter-shiu-ka-fai.png,827,Yes
FC,Technology and innovation,1,麥騫譽,Mak Hin-yu,41,,,Tech company co-founder,,mak-hin-yu.png,6,No
FC,Technology and innovation,2,邱達根,Duncan Chiu,51,,Y,"Lawmaker, merchant",,duncan-chiu.png,65,Yes
FC,Catering,1,江志恒,Maurice Kong Chi-hang,61,,,Chairman of business association,,maurice-kong-chi-hang.png,22,No
FC,Catering,2,梁進,Jonathan Leung Chun,40,Liberal Party,,District councillor,,jonathan-leung-chun.png,101,Yes
FC,"HKSAR deputies to the National People’s Congress, HKSAR members of the National Committee of the Chinese People’s Political Consultative Conference and representatives of relevant national organisations",1,黎達成,Lai Tat-shing,36,,,Thinktank director,,lai-tat-shing.png,121,No
FC,"HKSAR deputies to the National People’s Congress, HKSAR members of the National Committee of the Chinese People’s Political Consultative Conference and representatives of relevant national organisations",2,陳勇,Chan Yung,56,Democratic Alliance for the Betterment and Progress of Hong Kong,Y,"Lawmaker, National People's Congress deputy",Deputy to National People Congress,chan-yung.png,414,Yes
EC,Election Committee,1,姚柏良,Perry Yiu Pak-leung,51,,Y,"Lawmaker, company director",,perry-yiu-pak-leung.png,1397,Yes
EC,Election Committee,2,李家駒,Elvin Lee Ka-kui,61,,,Company vice president,,elvin-lee-ka-kui.png,1193,Yes
EC,Election Committee,3,文頴怡,Ginny Man Wing-yee,52,,,Solicitor,Deputy to National People Congress ,ginny-man-wing-yee.png,1308,Yes
EC,Election Committee,4,伍婉婷,Yolanda Ng Yuen-ting ,50,,,Culturalist,,yolanda-ng-yuen-ting.png,970,No
EC,Election Committee,5,吳傑莊,Johnny Ng Kit-chong,51,,Y,"Lawmaker, merchant",member of Chinese People's Political Consultative Conference,johnny-ng-kit-chong.png,1331,Yes
EC,Election Committee,6,伍煥杰,Ng Wun-kit,47,,,Principal,,ng-wun-kit.png,1164,Yes
EC,Election Committee,7,劉智鵬,Lau Chi-pang,65,,Y,"Lawmaker, professor",member of Chinese People's Political Consultative Conference,lau-chi-pang.png,1275,Yes
EC,Election Committee,8,鄧銘心,Michelle Tang Ming-sum,49,Business and Professionals Alliance for Hong Kong,,"District councillor, civil engineer",,michelle-tang-ming-sum.png,1073,Yes
EC,Election Committee,9,樓家強,Lau Ka-keung,50,,,Business manager,Deputy to National People Congress,lau-ka-keung.png,1231,Yes
EC,Election Committee,10,范凱傑,Fan Hoi-kit ,38,,,"Barrister, GBA lawyer",,fan-hoi-kit.png,1034,Yes
EC,Election Committee,11,蘇紹聰,Thomas So Shiu-tsung,63,,,Solicitor,member of Chinese People's Political Consultative Conference,thomas-so-shiu-tsung.png,1076,Yes
EC,Election Committee,12,洪錦鉉,Hung Kam-in,49,Democratic Alliance for the Betterment and Progress of Hong Kong,,"District councillor, company director",,hung-kam-in.png,1042,Yes
EC,Election Committee,13,柯家洋,Kevin Orr Ka-yeung ,46,,,Chief investment officer of a company,,kevin-orr-ka-yeung.png,813,No
EC,Election Committee,14,何俊賢,Steven Ho Chun-yin,46,Democratic Alliance for the Betterment and Progress of Hong Kong,Y,Lawmaker,,steven-ho-chun-yin.png,1267,Yes
EC,Election Committee,15,管浩鳴,Peter Douglas Koon Ho-ming ,60,,Y,"Lawmaker, clergyman",member of Chinese People's Political Consultative Conference,peter-douglas-koon-ho-ming.png,1233,Yes
EC,Election Committee,16,吳英鵬,Wu Yingpeng,40,,,"Barrister, PRC lawyer",,wu-yingpeng.png,1002,Yes
EC,Election Committee,17,招國偉,Chiu Kwok-wai,47,Federation of Public Housing Estates,,Policy reseacher,,chiu-kwok-wai.png,887,No
EC,Election Committee,18,郭志華,Andrew Kwok Chi-wah ,56,,,Merchant,,andrew-kwok-chi-wah.png,947,No
EC,Election Committee,19,黃錦輝,William Wong Kam-fai ,65,,Y,"Lawmaker, professor",member of Chinese People's Political Consultative Conference,william-wong-kam-fai.png,1329,Yes
EC,Election Committee,20,陳永光,Chan Wing-kwong,62,Democratic Alliance for the Betterment and Progress of Hong Kong,Y,"Lawmaker, Chinese medicine practitioner",,chan-wing-kwong.png,1269,Yes
EC,Election Committee,21,李鎮強,Lee Chun-keung,49,Liberal Party,Y,Lawmaker,member of Chinese People's Political Consultative Conference,lee-chun-keung.png,1354,Yes
